62.171.158.50 - - [31/Dec/2025:00:03:22 +0700] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 150 "-" "-"
45.84.222.130 - - [31/Dec/2025:00:58:18 +0700] "GET /HNAP1/ HTTP/1.1" 404 118 "http://1.55.150.243/HNAP1/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:21 +0700] "GET /cgi-bin/supervisor/Factory.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/Factory.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:21 +0700] "GET /cgi-bin/supervisor/CloudSetup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/CloudSetup.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:23 +0700] "GET /cgi-bin/nobody/Machine.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/nobody/Machine.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:24 +0700] "GET /device.rsp?opt=user&cmd=list HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=user&cmd=list" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:25 +0700] "GET /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___ HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:26 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:27 +0700] "GET /GponForm/diag_Form?images/ HTTP/1.1" 404 118 "http://1.55.150.243:80/GponForm/diag_Form?images/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:35 +0700] "GET / HTTP/1.1" 200 1568 "-" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:36 +0700] "GET /vpn/list_base_config.php HTTP/1.1" 404 118 "http://1.55.150.243/vpn/list_base_config.php" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:37 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:00:58:45 +0700] "GET /setup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/setup.cgi" "Go-http-client/1.1"
176.65.149.253 - - [31/Dec/2025:01:11:18 +0700] "GET /config.json HTTP/1.0" 403 548 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
193.142.147.209 - - [31/Dec/2025:01:17:41 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
45.84.222.130 - - [31/Dec/2025:01:19:27 +0700] "GET /HNAP1/ HTTP/1.1" 404 118 "http://1.55.150.243/HNAP1/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:29 +0700] "GET /cgi-bin/supervisor/Factory.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/Factory.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:31 +0700] "GET /cgi-bin/supervisor/CloudSetup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/supervisor/CloudSetup.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:32 +0700] "GET /cgi-bin/nobody/Machine.cgi HTTP/1.1" 404 118 "http://1.55.150.243/cgi-bin/nobody/Machine.cgi" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:33 +0700] "GET /device.rsp?opt=user&cmd=list HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=user&cmd=list" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:34 +0700] "GET /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___ HTTP/1.1" 404 118 "http://1.55.150.243/device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:35 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:36 +0700] "GET /GponForm/diag_Form?images/ HTTP/1.1" 404 118 "http://1.55.150.243:80/GponForm/diag_Form?images/" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:44 +0700] "GET / HTTP/1.1" 200 1568 "-" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:45 +0700] "GET /vpn/list_base_config.php HTTP/1.1" 404 118 "http://1.55.150.243/vpn/list_base_config.php" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:46 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243" "Go-http-client/1.1"
45.84.222.130 - - [31/Dec/2025:01:19:53 +0700] "GET /setup.cgi HTTP/1.1" 404 118 "http://1.55.150.243/setup.cgi" "Go-http-client/1.1"
89.42.231.179 - - [31/Dec/2025:01:40:53 +0700] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 404 146 "http://1.55.150.243:80/cgi-bin/luci/;stok=/locale" "-"
167.94.146.60 - - [31/Dec/2025:01:57:57 +0700] "GET / HTTP/1.1" 200 1568 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.60 - - [31/Dec/2025:01:57:58 +0700] "GET /favicon.ico HTTP/1.1" 200 29633 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.60 - - [31/Dec/2025:01:58:12 +0700] "GET /.well-known/security.txt HTTP/1.1" 404 118 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
185.12.59.118 - - [31/Dec/2025:02:56:10 +0700] "GET / HTTP/1.1" 200 1568 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0"
154.221.16.56 - - [31/Dec/2025:03:11:48 +0700] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 150 "-" "-"
209.38.86.210 - - [31/Dec/2025:03:15:10 +0700] "GET /+CSCOL+/Java.jar HTTP/1.1" 404 181 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
209.38.86.210 - - [31/Dec/2025:03:15:11 +0700] "GET /+CSCOE+/logon_forms.js HTTP/1.1" 404 181 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
209.38.86.210 - - [31/Dec/2025:03:15:12 +0700] "GET /+CSCOL+/a1.jar HTTP/1.1" 404 181 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
209.38.86.210 - - [31/Dec/2025:03:15:13 +0700] "GET /+CSCOE+/transfer.js HTTP/1.1" 404 181 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
89.42.231.179 - - [31/Dec/2025:03:20:12 +0700] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 404 146 "-" "-"
170.64.197.46 - - [31/Dec/2025:03:40:18 +0700] "GET /.git/config HTTP/1.1" 403 180 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
87.251.75.163 - - [31/Dec/2025:03:41:01 +0700] "\x03\x00\x00/*\xE0\x00\x00\x00\x00\x00Cookie: mstshash=Administr" 400 150 "-" "-"
193.142.147.209 - - [31/Dec/2025:04:01:00 +0700] "POST / HTTP/1.1" 405 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
185.241.208.170 - - [31/Dec/2025:04:15:49 +0700] "GET /.git/index HTTP/1.1" 403 118 "-" "Mozilla/5.0 (X11; U; FreeBSD i386; de-CH; rv:1.9.2.8) Gecko/20100729 Firefox/3.6.8"
5.187.35.158 - - [31/Dec/2025:04:51:32 +0700] "GET /SDK/webLanguage HTTP/1.1" 404 181 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
193.142.147.209 - - [31/Dec/2025:04:55:45 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
204.76.203.125 - - [31/Dec/2025:05:00:54 +0700] "POST /v1/messages HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:05:00:54 +0700] "POST /v1/chat/completions HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:05:00:54 +0700] "POST /v1/messages HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:05:00:55 +0700] "POST /v1/chat/completions HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:05:00:55 +0700] "POST /v1/messages HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:05:00:55 +0700] "POST /v1/chat/completions HTTP/1.1" 404 146 "-" "-"
185.220.101.9 - - [31/Dec/2025:05:09:29 +0700] "POST /photo/webapi/about.php HTTP/1.1" 404 118 "-" "python-requests/2.32.5"
5.187.35.21 - - [31/Dec/2025:05:21:53 +0700] "POST / HTTP/1.1" 405 150 "-" "Go-http-client/1.1"
165.227.150.186 - - [31/Dec/2025:05:27:56 +0700] "GET /.git/config HTTP/1.1" 403 180 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
195.24.237.218 - - [31/Dec/2025:06:06:16 +0700] "GET / HTTP/1.1" 200 1568 "-" "Mozilla/5.0"
78.153.140.203 - - [31/Dec/2025:06:40:08 +0700] "GET /.env HTTP/1.1" 403 548 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36 OPR/36.0.2130.65"
78.153.140.203 - - [31/Dec/2025:06:40:12 +0700] "GET /api/.env HTTP/1.1" 403 146 "-" "Mozilla/5.0 (Android 5.1.1; Tablet; rv:44.0) Gecko/44.0 Firefox/44.0"
78.153.140.203 - - [31/Dec/2025:06:40:13 +0700] "GET /backend/.env HTTP/1.1" 403 146 "-" "Mozilla/5.0 (Android 4.2.2; Tablet; rv:52.0) Gecko/52.0 Firefox/52.0"
78.153.140.203 - - [31/Dec/2025:06:40:14 +0700] "GET /admin/.env HTTP/1.1" 403 146 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SiteKiosk 7.8 Build 332)"
78.153.140.203 - - [31/Dec/2025:06:40:15 +0700] "GET /.env.example HTTP/1.1" 403 146 "-" "Mozilla/5.0 (Linux; U; Android 4.0.4; en-us; SPH-D710VMUB Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
78.153.140.203 - - [31/Dec/2025:06:40:16 +0700] "GET /app_dev.php/_profiler/phpinfo HTTP/1.1" 404 146 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.5) Gecko/20070719 Firefox/2.0.0.5 (Debian-2.0.0.5-0etch1)"
78.153.140.203 - - [31/Dec/2025:06:40:17 +0700] "GET /?phpinfo=-1 HTTP/1.1" 200 3722 "-" "Mozilla/5.0 (Linux; Android 4.2.2; ALCATEL ONE TOUCH Fierce Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.94 Mobile Safari/537.36"
162.142.125.39 - - [31/Dec/2025:06:51:58 +0700] "GET /sitemap.xml HTTP/1.1" 200 465 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
162.142.125.39 - - [31/Dec/2025:06:52:10 +0700] "GET /sitemap.xml HTTP/1.1" 400 248 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.138.40 - - [31/Dec/2025:06:52:38 +0700] "GET /sitemap.xml HTTP/1.1" 200 465 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
47.245.117.221 - - [31/Dec/2025:06:53:26 +0700] "GET /dns-query?dns=pSsBAAABAAAAAAAAATEEb2RucwFtCmRuc21lYXN1cmUDdG9wAAABAAE HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:26 +0700] "POST /dns-query HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:26 +0700] "GET /dns-query?name=1.odns.m.dnsmeasure.top&type=A HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:26 +0700] "GET /dns-query?dns=zTgBAAABAAAAAAAAATEEb2RucwFtCmRuc21lYXN1cmUDdG9wAAABAAE HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:26 +0700] "POST /dns-query HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:26 +0700] "GET /dns-query?name=1.odns.m.dnsmeasure.top&type=A HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:26 +0700] "GET /query?dns=Qz4BAAABAAAAAAAAATEEb2RucwFtCmRuc21lYXN1cmUDdG9wAAABAAE HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:27 +0700] "POST /query HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:27 +0700] "GET /query?name=1.odns.m.dnsmeasure.top&type=A HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:27 +0700] "GET /query?dns=T8UBAAABAAAAAAAAATEEb2RucwFtCmRuc21lYXN1cmUDdG9wAAABAAE HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:27 +0700] "POST /query HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:27 +0700] "GET /query?name=1.odns.m.dnsmeasure.top&type=A HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:27 +0700] "GET /resolve?dns=Ja4BAAABAAAAAAAAATEEb2RucwFtCmRuc21lYXN1cmUDdG9wAAABAAE HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:27 +0700] "POST /resolve HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:27 +0700] "GET /resolve?name=1.odns.m.dnsmeasure.top&type=A HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "GET /resolve?dns=W_8BAAABAAAAAAAAATEEb2RucwFtCmRuc21lYXN1cmUDdG9wAAABAAE HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "POST /resolve HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "GET /resolve?name=1.odns.m.dnsmeasure.top&type=A HTTP/1.1" 404 146 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "GET /?dns=SFABAAABAAAAAAAAATEEb2RucwFtCmRuc21lYXN1cmUDdG9wAAABAAE HTTP/1.1" 200 3722 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "POST / HTTP/1.1" 405 150 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "GET /?name=1.odns.m.dnsmeasure.top&type=A HTTP/1.1" 200 3722 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "GET /?dns=OFIBAAABAAAAAAAAATEEb2RucwFtCmRuc21lYXN1cmUDdG9wAAABAAE HTTP/1.1" 200 3722 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "POST / HTTP/1.1" 405 150 "-" "Go-http-client/1.1"
47.245.117.221 - - [31/Dec/2025:06:53:28 +0700] "GET /?name=1.odns.m.dnsmeasure.top&type=A HTTP/1.1" 200 3722 "-" "Go-http-client/1.1"
109.105.210.103 - - [31/Dec/2025:06:57:00 +0700] "GET / HTTP/1.1" 200 1568 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
35.203.210.187 - - [31/Dec/2025:07:03:33 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80/" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
34.78.140.118 - - [31/Dec/2025:07:03:47 +0700] "GET / HTTP/1.1" 200 1568 "-" "python-requests/2.32.5"
193.142.147.209 - - [31/Dec/2025:07:26:02 +0700] "POST / HTTP/1.1" 405 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
13.89.121.32 - - [31/Dec/2025:07:34:48 +0700] "GET / HTTP/1.1" 400 248 "-" "Mozilla/5.0 zgrab/0.x"
13.89.121.32 - - [31/Dec/2025:07:34:49 +0700] "MGLNDD_1.55.150.243_443" 400 150 "-" "-"
193.142.147.209 - - [31/Dec/2025:07:54:27 +0700] "GET / HTTP/1.1" 200 1568 "http://1.55.150.243:80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
162.216.150.48 - - [31/Dec/2025:07:55:40 +0700] "GET / HTTP/1.1" 200 1568 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
204.76.203.125 - - [31/Dec/2025:08:02:58 +0700] "POST /v1/messages HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:08:02:58 +0700] "POST /v1/chat/completions HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:08:02:59 +0700] "POST /v1/messages HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:08:02:59 +0700] "POST /v1/chat/completions HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:08:02:59 +0700] "POST /v1/messages HTTP/1.1" 404 146 "-" "-"
204.76.203.125 - - [31/Dec/2025:08:02:59 +0700] "POST /v1/chat/completions HTTP/1.1" 404 146 "-" "-"
170.64.197.46 - - [31/Dec/2025:08:24:25 +0700] "GET /.git/config HTTP/1.1" 403 180 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
204.76.203.125 - - [31/Dec/2025:08:25:02 +0700] "POST /v1/messages HTTP/1.1" 404 146 "-" "-"
